x;y
120;-117
120;-113
120;-103
120;-102
120;-102
120;-102
120;-102
120;-102
120;-99
120;-96
120;-89
120;-85
120;-81
120;-78
120;-70
120;-67
120;-63
120;-59
120;-52
120;-49
120;-45
120;-41
120;-34
120;-31
120;-27
120;-23
120;-16
120;-12
120;-9
120;-5
120;1
120;5
120;8
120;12
120;19
120;23
120;27
120;30
120;37
120;41
120;45
120;48
120;56
120;59
120;63
120;67
120;74
120;78
120;83
120;87
120;97
120;102
120;105
120;105
120;105
120;105
120;105
120;105
120;108
120;110
120;112
120;114
120;117
120;119
120;121
120;123
120;127
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
120;128
