x;y
-127;-130
-124;-130
-120;-130
-116;-130
-108;-127
-104;-125
-100;-123
-92;-118
-87;-116
-84;-116
-77;-116
-73;-116
-69;-116
-66;-116
-62;-116
-55;-116
-51;-116
-47;-116
-44;-116
-36;-113
-31;-111
-27;-109
-23;-107
-15;-102
-11;-101
-8;-101
-5;-101
-1;-101
4;-101
8;-101
13;-101
17;-101
27;-101
31;-101
36;-101
42;-101
46;-101
49;-101
52;-101
55;-101
60;-101
63;-101
65;-101
68;-101
73;-100
76;-99
78;-97
83;-94
86;-93
86;-91
86;-91
86;-91
86;-91
86;-91
86;-91
86;-91
86;-91
86;-91
86;-91
86;-91
91;-91
94;-91
98;-91
104;-91
107;-91
109;-91
112;-91
114;-91
119;-91
122;-91
129;-91
129;-91
135;-91
138;-91
141;-91
141;-91
