x;y
-133;123
-133;119
-133;116
-133;112
-133;105
-133;101
-132;97
-130;93
-127;84
-126;80
-123;72
-123;72
-123;64
-123;61
-123;57
-123;53
-123;50
-123;42
-123;39
-123;35
-123;25
-123;20
-123;16
-123;6
-123;3
-123;0
-123;-3
-123;-6
-123;-13
-123;-16
-123;-19
-123;-23
-123;-26
-123;-33
-123;-39
-123;-39
-122;-42
-118;-48
-116;-51
-114;-55
-110;-63
-108;-67
-105;-76
-105;-76
-102;-83
-100;-85
-99;-88
-99;-90
-99;-95
-99;-99
-99;-108
-99;-113
-99;-113
-99;-123
-99;-127
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
-99;-130
