x;y
135;-91
135;-88
135;-85
135;-78
135;-75
135;-72
135;-65
135;-62
135;-59
135;-53
135;-49
133;-47
129;-45
126;-44
119;-40
115;-38
116;-37
120;-35
124;-33
132;-29
136;-27
143;-21
146;-17
150;-14
153;-11
157;-7
155;-5
152;-5
149;-5
146;-5
144;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-5
141;-9
138;-12
134;-14
129;-16
121;-20
117;-20
117;-18
121;-13
131;-3
136;1
141;5
142;8
138;8
131;8
127;8
123;8
116;13
112;16
108;20
104;24
101;27
93;30
89;30
86;30
82;30
74;30
71;33
68;35
61;40
58;42
55;45
52;46
46;46
43;46
40;46
38;46
35;46
32;46
26;46
23;46
17;46
14;46
10;46
6;46
-1;46
-5;46
-8;50
-11;53
-15;57
-22;64
-25;67
-29;71
-36;78
-39;81
-42;85
-49;92
-52;96
-54;100
-56;105
-58;109
-64;114
-64;114
-64;114
-64;114
-64;114
-64;115
-64;116
-64;118
-64;121
-64;122
-64;123
-66;123
-69;123
-74;122
-77;120
-80;119
-87;115
-90;114
-94;113
-98;113
-102;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
-104;113
