x;y
-102;113
-94;113
-91;113
-87;113
-83;113
-76;113
-72;113
-69;113
-65;113
-58;113
-54;113
-51;113
-47;113
-43;113
-36;113
-32;113
-29;113
-21;113
-18;113
-14;113
-10;113
-3;113
0;113
3;113
2;113
-1;113
-4;113
-11;113
-15;113
-19;113
-22;113
-26;113
-33;113
-36;113
-35;113
-31;113
-27;113
-20;113
-16;113
-9;113
-6;113
-2;113
1;113
5;113
12;113
15;113
19;113
23;113
26;113
33;113
35;113
37;113
40;113
42;113
43;113
43;113
43;113
43;113
43;113
43;113
45;113
49;113
51;113
53;113
59;113
62;113
65;113
68;113
75;113
78;113
82;113
86;113
89;113
96;113
100;113
104;113
108;113
111;113
118;113
127;113
132;113
137;113
141;113
146;113
149;113
149;113
149;113
149;113
149;113
149;113
149;113
149;113
149;113
149;113
149;113
