x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-117
120;-114
120;-111
120;-107
120;-101
120;-97
120;-94
120;-86
120;-83
120;-79
120;-75
120;-65
120;-61
120;-56
120;-51
120;-44
120;-40
120;-37
120;-34
120;-27
120;-24
120;-21
120;-17
120;-11
120;-8
120;-4
120;-1
120;4
120;8
120;11
120;14
120;19
120;21
120;24
120;26
120;31
120;34
120;36
120;39
120;44
120;46
120;48
120;50
120;52
120;56
120;58
120;60
120;62
120;66
120;69
120;71
120;73
120;77
120;79
120;81
120;85
120;87
120;89
120;91
120;93
120;93
120;93
120;93
120;93
120;95
120;97
120;100
120;105
120;107
120;111
120;116
120;126
120;130
120;130
120;130
