x;y
120;130
120;130
120;130
120;130
120;129
120;127
120;124
120;123
120;121
120;120
120;120
120;120
120;120
120;120
113;117
109;115
104;112
99;110
90;105
86;105
82;105
75;105
71;105
67;105
62;100
58;96
48;86
43;82
39;77
34;72
25;63
21;59
16;54
8;46
5;43
1;39
-4;32
-8;29
-10;25
-13;21
-17;12
-19;7
-22;3
-24;0
-27;-7
-29;-11
-31;-14
-34;-22
-34;-22
-39;-30
-41;-35
-43;-39
-46;-44
-48;-48
-54;-53
-58;-56
-61;-58
-68;-63
-72;-65
-76;-68
-81;-70
-85;-72
-94;-77
-98;-79
-102;-79
-110;-79
-114;-79
-118;-79
-120;-79
-123;-80
-128;-84
-130;-86
-133;-88
-134;-93
-134;-95
-134;-97
-134;-99
-134;-101
-134;-105
-134;-108
-134;-110
-134;-115
-134;-118
-134;-119
-134;-119
-134;-119
-134;-119
-134;-119
-134;-119
-134;-119
-134;-119
-134;-119
-134;-119
