x;y
-132;-117
-128;-117
-122;-117
-119;-117
-115;-117
-109;-117
-105;-117
-101;-117
-98;-117
-94;-116
-86;-113
-83;-111
-75;-108
-71;-107
-68;-107
-64;-107
-60;-107
-53;-107
-50;-107
-46;-107
-42;-107
-35;-107
-31;-107
-28;-107
-24;-107
-17;-107
-14;-107
-11;-107
-7;-107
-4;-107
1;-107
3;-107
8;-107
11;-107
13;-107
16;-107
18;-107
22;-107
24;-107
26;-107
28;-107
32;-107
35;-107
37;-107
39;-107
41;-107
45;-107
47;-107
49;-107
53;-107
55;-107
57;-107
59;-107
63;-107
65;-107
67;-107
71;-107
73;-107
75;-107
77;-107
79;-107
83;-107
85;-107
87;-107
89;-107
91;-107
95;-107
97;-107
101;-107
103;-107
105;-107
107;-107
109;-107
111;-107
115;-107
119;-107
121;-107
123;-107
125;-107
127;-107
130;-107
131;-107
133;-107
134;-107
