x;y
-141;130
-141;130
-141;130
-141;130
-141;130
-140;130
-135;130
-131;130
-126;130
-116;130
-108;130
-105;130
-98;130
-90;130
-84;130
-80;130
-76;130
-73;130
-66;130
-62;130
-58;130
-55;130
-51;130
-44;130
-41;130
-37;130
-33;130
-26;130
-22;130
-17;130
-12;130
-3;130
5;130
9;130
15;130
18;130
21;130
28;130
31;130
38;130
44;130
46;130
49;130
51;130
56;130
62;130
69;130
72;130
75;130
78;130
81;130
88;130
91;130
95;130
98;130
101;130
108;130
114;130
120;130
123;130
125;130
128;130
133;130
135;130
135;130
135;130
