time;x;y;fx;fy
63;120;-120;0;70
126;120;-120;0;70
189;120;-120;0;70
252;120;-120;0;70
315;120;-120;0;70
378;120;-120;0;81
441;120;-120;29;81
504;120;-120;29;81
567;120;-120;29;81
630;120;-120;29;81
693;120;-117;29;226
756;120;-114;34;226
819;120;-111;34;226
882;120;-107;34;226
945;120;-101;34;226
1008;120;-97;34;680
1071;120;-94;0;680
1134;120;-86;0;680
1197;120;-83;0;680
1260;120;-79;0;680
1323;120;-75;0;249
1386;120;-65;0;249
1449;120;-61;0;249
1512;120;-56;0;249
1575;120;-51;0;249
1638;120;-44;0;210
1701;120;-40;0;210
1764;120;-37;0;210
1827;120;-34;0;210
1890;120;-27;0;197
1953;120;-24;0;197
2016;120;-21;0;197
2079;120;-17;0;197
2142;120;-11;0;197
2205;120;-8;0;196
2268;120;-4;0;196
2331;120;-1;0;196
2394;120;4;0;196
2457;120;8;0;196
2520;120;11;0;196
2583;120;14;0;180
2646;120;19;0;180
2709;120;21;0;180
2772;120;24;0;180
2835;120;26;0;180
2898;120;31;0;169
2961;120;34;0;169
3024;120;36;0;169
3087;120;39;0;169
3150;120;44;0;154
3213;120;46;0;154
3276;120;48;0;154
3339;120;50;0;154
3402;120;52;0;154
3465;120;56;0;153
3528;120;58;0;153
3591;120;60;0;153
3654;120;62;0;153
3717;120;66;0;153
3780;120;69;0;140
3843;120;71;0;140
3906;120;73;0;140
3969;120;77;0;140
4032;120;79;0;140
4095;120;81;0;135
4158;120;85;0;135
4221;120;87;0;135
4284;120;89;0;135
4347;120;91;0;135
4410;120;93;0;93
4473;120;93;0;93
4536;120;93;0;93
4599;120;93;0;93
4662;120;93;0;93
4725;120;95;0;160
4788;120;97;0;160
4851;120;100;0;160
4914;120;105;0;160
4977;120;107;0;160
5040;120;111;0;254
5103;120;116;0;254
5166;120;126;0;254
5229;120;130;0;254
5292;120;130;0;254
5355;120;130;0;0
5418;120;130;0;0
5481;120;130;0;0
5544;120;130;0;0
5607;120;130;0;0
5670;120;130;0;0
5733;120;130;0;0
5796;120;130;0;0
5859;120;130;0;0
5922;120;130;0;0
5985;120;130;0;26
6048;120;130;0;26
6111;120;130;0;26
6174;120;130;0;26
6237;120;130;0;27
6300;120;130;0;27
6363;120;130;0;27
6426;120;130;0;27
6489;120;130;0;27
6552;120;130;0;0
6615;120;130;0;0
6678;120;130;0;0
6741;120;130;0;0
6804;120;130;0;0
6867;120;130;0;0
6930;120;130;0;0
6993;120;130;0;0
7056;120;130;0;0
7119;120;130;0;0
7182;120;130;0;0
7245;120;130;0;0
7308;120;130;-37;-44
7371;120;130;-37;-44
7434;120;130;-37;-44
7497;120;130;-37;-44
7560;120;130;-37;-44
7623;120;129;-48;-113
7686;120;127;-48;-113
7749;120;124;-48;-113
7812;120;123;-48;-113
7875;120;121;-48;-113
7938;120;120;-109;-87
8001;120;120;-109;-87
8064;120;120;-109;-87
8127;120;120;-109;-87
8190;120;120;-109;-87
8253;113;117;-255;-160
8316;109;115;-255;-160
8379;104;112;-255;-160
8442;99;110;-255;-160
8505;90;105;-483;-90
8568;86;105;-483;-90
8631;82;105;-483;-90
8694;75;105;-483;-90
8757;71;105;-483;-90
8820;67;105;-423;-336
8883;62;100;-423;-336
8946;58;96;-423;-336
9009;48;86;-423;-336
